Facility_Name,Hatchery_Program_Name,Hatchery_Program_Type,Species,Run,Life_Stage,Goal,Production_Goal,PNI Year,Integrated_PNI _Rate,Integrated PNI Rate Description,Integrated PNI Goal,Integrated PNI Goal Description,Segrated PHOS Rate ,Segrated PHOS Rate Description,Segrated PHOS Goal ,Segrated PHOS Goal Description,Juvenile Produced,Juvenile To Smolt Survival Percent,Juvenile To Smolt Survival Description,Actual_Adult_Hatchery_Produced,Actual Adult Hatchery Produced Description,AdultReturnsTotal,Adult Returns To Hatchery Broodstock Description,Adult Returns To Hatchery Wild Broodstock Percent,Adult Returns To Hatchery Wild Broodstock Description,Adult Returns To Hatchery Excess,Adult Returns To Hatchery Excess Description,ReturningHatcheryPercent,Adult Where Returning Fish Go Hatchery Description, ReturningHarvestedPercent,Adult Where Returning Fish Go Harvested Description,Adult Where Returning Fish Go Spawning Grounds Percent,Adult Where Returning Fish Go Spawning Grounds Description,Non WA Caught Adult,Non WA Caught Adult Description,Sport_Caught_Adult,Sport Caught Adult Description,Net_Caught_Adult,Net Caught Adult Description,Troll_Caught_Adult,Troll Caught Adult Description,Cost Per Adult,Cost Per Adult Description,County,WRIA,Salmon Recovery Region,Lead Entity,Last Updated
Satsop Springs Ponds,Satsop Springs Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Conservation,300000,2009,0.64,,0.5,>0.50,0.12,,0.3,<0.30,338936,0.04,,120,,102,,,63.40%,15,,43.5,,56.5,,,unavailable,47,,2,,17,,1,,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,,,7/22/2015 16:38
Washougal Hatchery,Klickitat outplant from Washougal (Type N),SEGREGATED,Coho,Type-N,Yearling,Harvest,1000000,2009,0,NA,0,NA,0.93,,0,Current,2470087,,unk,,unk,,Broodstock from Washougal program,,None,,,,unavailable,,unavailable,,unavailable,4806,,3031,,48,,293,,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Humptulips Hatchery,Humptulips River Late Coho,INTEGRATED,Coho,Late,Yearling,Harvest,100000,2009,0.33,,0.5,>0.50,0.36,,0.3,<0.30,220510,,unavailable,,unavailable,2426,,,4.87%,2185,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Lake Aberdeen Hatchery,Lake Aberdeen Coho,INTEGRATED,Coho,Summer,Yearling,Harvest,30000,2009,0.83,,0.5,>0.50,0.1,,0.3,<0.30,30000,3.73,,1120,,1050,,,13.94%,994,,86,,14,,,unavailable,33,,45,,65,,14,,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Skookumchuck Hatchery,Skookumchuck River Coho,INTEGRATED,Coho,,Yearling,Harvest,50000,2009,0.33,,0.5,>0.50,0.32,,0.3,<0.30,51734,3.69,,1909,,1370,,,4.99%,1040,,68.1,,31.9,,,unavailable,35,,312,,229,,32,,,"In progressJLARC data to be released 2015,",Thurston,UPPER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,5/20/2016 16:52
Skookumchuck Hatchery,Skookumchuck River Late Coho,INTEGRATED,Coho,Late,Yearling,Harvest,50000,2009,0.64,,0.5,>0.50,0.08,,0.3,<0.30,51070,3.56,,1820,,914,,,5.39%,742,,79.7,,20.3,,,unavailable,101,,178,,77,,14,,,"In progressJLARC data to be released 2015,",Thurston,UPPER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,5/20/2016 16:52
Mayr Brothers Ponds,Wishkah Coho (Mayr Brothers),INTEGRATED,Coho,,Yearling,Harvest,300000,2009,0.09,,0.5,>0.50,0.42,,0.3,<0.30,151000,,unavailable,,unavailable,3086,,,2.99%,2689,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Deep River Net Pens,Deep R Net Pens Coho Type-S,SEGREGATED,Coho,Type-S,Yearling,Harvest,800000,2009,0,NA,0,NA,0,unavailable,0.05,<0.05,303807,,unk,,unk,,Broodstock from Lewis and Washougal Programs,,None,,unavailable,,unk,,unk,,unavailable,5598,,313,,3,,23,,,"In progressJLARC data to be released 2015,",Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Fallert Creek Hatchery,Fallert Creek Coho Type-S,INTEGRATED,Coho,Type-S,Yearling,Conservation,100000,2009,0,unavailable,0.5,>0.50,0,unavailable,0.3,<0.30,299097,1.3,,3890,,237,,,None,2229,,63.4,,36.6,,,unavailable,706,,708,,0,,10,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Grays River Hatchery,Grays River Coho Type-N,INTEGRATED,Coho,Type-N,Yearling,Conservation,150000,2009,0.51,,0.67,>0.67,0.25,,0.3,<0.30,491662,0.69,,3416,,222,,,26%,863,,31.7,,68.3,,,unavailable,1488,,754,,30,,59,,,"In progressJLARC data to be released 2015,",Pacific,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Kalama Falls Hatchery,Kalama Falls Coho Type-N,INTEGRATED,Coho,Type-N,Yearling,Harvest,600000,2009,0.15,,0.5,>0.50,0.6,,0.3,<0.30,349645,2.17,,7600,,227,,,11%,3445,,48.3,,51.7,,,unavailable,2194,,1590,,52,,92,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:50
Lewis River Hatchery,Lewis River Coho Type-N,SEGREGATED,Coho,Type-N,Yearling,Harvest,850000,2009,0,NA,0,NA,0.66,,0.1,<0.10,842514,3.63,,30583,,1371,,,None,13575,,48.9,,51.1,,,unavailable,7574,,7492,,74,,497,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Lewis River Hatchery,Lewis River Coho Type-S,SEGREGATED,Coho,Type-S,Yearling,Harvest,950000,2009,0,NA,0,NA,0.66,,0.1,<0.10,894834,0.88,,7834,,795,,,None,238,,13.2,,86.8,,,unavailable,2873,,3860,,0,,68,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Cowlitz Salmon Hatchery,Lower Cowlitz River Hatchery Coho,SEGREGATED,Coho,Type-N,Yearling,Harvest,1100000,2009,0,NA,0,NA,0.59,,0.05,<0.05,3162780,2.86,,90383,,2096,,,None,60410,,69.2,,30.8,,,unavailable,12830,,14464,,134,,449,,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
North Toutle Hatchery,NF Toutle Coho Type-S,INTEGRATED,Coho,Type-S,Yearling,Conservation,150000,2009,0,unavailable,0.67,>0.67,0,unavailable,0.3,<0.30,724554,3.29,,23806,,313,,,42%,18085,,77.3,,22.7,,,unavailable,2901,,2368,,0,,138,,,"In progressJLARC data to be released 2015,",Cowlitz,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:51
Cowlitz Salmon Hatchery,Upper Cowlitz Coho wild-Int.,INTEGRATED,Coho,Type-N,Yearling,Harvest,1000000,2009,0.63,,0.67,>0.67,0.59,,0.3,<0.30,,,unk,,unk,0,,,100%,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
Bingham Creek Hatchery,Bingham Creek Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Conservation,200000,2009,0.64,,0.5,>0.50,0.12,,0.3,<0.30,330000,0.4,,1318,,15,,,13.30%,8,,1.6,,74.2,,24.3,,609,,124,,228,,16,,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Mayr Brothers Ponds,Mayr Brothers Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,200000,2009,0.89,,0,Current,0.12,,0,Current,50115,,Tag recoveries not available,,Tag recoveries not available,26,,,100%,3,,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Washougal Hatchery,Washougal River Coho Type-N,INTEGRATED,Coho,Type-N,Yearling,Harvest,150000,2009,0,unavailable,0.5,>0.50,0.63,,0.3,<0.30,2740299,,unk,,unk,,unavailable,,2%,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
